101,88,1,1
102,89,1,1
103,87,1,1
104,90,1,1
104,108,2,1
105,91,1,1
105,113,2,1
106,84,1,1
106,112,2,1
107,137,1,1
107,129,2,1
107,131,3,1
108,20,1,1
108,111,2,1
109,83,1,1
201,122,1,1
201,114,2,1
201,126,3,1
202,139,1,1
202,132,2,1
202,138,3,1
203,120,1,1
203,105,2,1
204,127,1,1
204,115,2,1
205,104,1,1
205,109,2,1
206,125,1,1
206,134,2,1
207,122,1,1
208,149,1,1
209,135,1,1
209,136,2,1
210,121,1,1
301,92,1,0
302,30,1,1
303,63,1,1
304,64,1,1
305,103,1,1
306,65,1,1
307,130,1,1
307,106,2,1
308,128,1,1
308,110,2,1
309,93,1,1
310,79,1,1
311,119,1,1
312,133,1,1
312,106,2,1
401,118,1,0
402,82,1,1
403,78,1,1
404,116,1,1
405,1,1,1
405,42,2,1
406,124,1,1
501,37,1,0
501,39,2,0
501,15,3,0
502,12,1,0
502,10,2,0
502,8,3,0
502,17,4,0
503,13,1,0
503,11,2,0
503,9,3,0
503,18,4,0
504,38,1,0
504,35,2,0
504,14,3,0
505,36,1,0
505,16,2,0
506,34,1,0
507,77,1,1
507,117,2,0
508,148,1,1
509,85,1,0
509,86,2,0
509,154,3,0
